CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,BGPUNISH,BGDIE,BGFEEL,BGSEE,LGPERF,LGBLV,LGTHINK_BINARY,BGPERF,BGBLV,BGTHINK_BINARY
AUD001,1,31,3,4,0,1,1,15,1,8,0,6,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0
AUD002,0,46,3,10,0,1,1,17,1,21,0,5,4,1,0,0,0,1,0,0,0,1,1,1,0,1,1
AUD004,0,46,4,14,0,1,1,11,1,14,0,6,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD005,1,52,2,8,0,1,1,17,1,12,1,6,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0
AUD006,1,18,0,12,0.75,1,1,16,1,11,1,5,5,0,0,0,1,NA,0,1,1,1,1,1,0,0,0
AUD007,0,44,3,4,0,1,1,14,1,14,1,6,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1
AUD009,1,48,4,8,0,1,1,10,1,11,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD010,1,50,4,8,0.25,1,1,15,1,12,1,2,4,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,0,NA
AUD011,1,51,3,8,0,1,1,15,1,16,1,4,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD012,0,64,4,13,0.25,1,1,16,1,20,1,6,7,1,NA,0,NA,NA,0,0,0,1,1,1,NA,1,1
AUD013,0,30,2,16,0,1,1,17,1,18,0,4,3,1,0,1,0,1,1,1,1,0,1,0,0,1,1
AUD014,0,46,4,8,0,1,1,19,1,17,0,1,5,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
AUD015,0,38,4,8,0,1,1,22,1,17,0,4,4,1,1,1,1,0,1,0,1,1,1,1,NA,1,1
AUD016,0,47,4,8,0,1,1,13,1,17,1,4,5,1,0,NA,1,NA,NA,NA,NA,1,1,1,0,0,1
AUD017,0,71,8,4,0,1,1,17,1,20,1,6,5,1,0,0,1,0,0,0,0,1,1,1,0,0,0
AUD018,0,29,0,16,0,1,1,13,1,13,1,5,7,1,0,1,1,0,1,0,1,0,1,0,0,1,0
AUD019,0,48,3,4,0,1,1,15,1,13,1,6,5,1,1,1,1,0,NA,0,0,1,1,1,0,1,1
AUD020,0,39,3,16.5,0,1,1,12,1,14,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD021,1,36,2,4,0,1,1,16,1,19,0,6,6,1,NA,NA,1,1,1,1,1,1,1,1,0,1,1
AUD022,1,26,0,12,0,1,1,18,1,7,0,6,7,1,0,1,1,1,1,1,1,1,1,1,0,0,1
AUD023,1,26,0,16,0,1,1,17,1,16,0,3,5,0,1,NA,1,NA,NA,NA,NA,1,1,1,0,1,0
AUD024,1,33,3,16,0.25,1,1,17,1,16,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
