CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,BGPUNISH,BGDIE,BGFEEL,BGSEE
BI001,1,58,3,12,0,0,1,10,1,17,1,5,5,1,1,1,1,1,1,1,1
BI002,0,58,5,12,0,1,1,14,1,15,0,5,3,1,1,1,1,1,1,1,1
BI003,0,20,0,14,0.25,0,1,15,1,13,1,5,5,1,1,0,1,1,1,1,1
BI004,1,38,4,10,0.25,1,1,14,1,19,0,5,5,0,0,0,0,1,0,0,0
BI005,0,32,4,14,0.5,1,2,16,1,14,1,5,5,1,0,1,1,1,1,1,1
BI006,0,23,2,3,1,0,1,11,1,16,1,4,4,0,1,1,1,0,1,1,1
BI007,0,67,3,12,0,0,1,14,2,12,0,5,5,1,1,1,1,1,1,1,0
BI008,0,48,1,12,0,1,1,14,1,10,1,5,5,0,1,0,0,1,0,0,0
BI009,1,69,4,14,0,1,1,14,1,18,1,5,5,1,1,1,1,1,1,1,1
BI010,1,23,0,15,0,1,1,17,1,15,0,5,5,0,0,0,0,0,0,0,0
BI011,1,26,2,15,0,1,1,15,1,13,0,5,5,0,0,0,0,0,1,1,1
BI012,0,51,4,14,0.25,1,1,0,1,18,0,1,1,1,0,0,1,1,1,1,1
BI013,1,66,6,10,0.75,1,2,14,1,16,1,4,7,1,0,1,1,0,0,0,0
BI014,0,64,5,12,0.25,1,1,15,1,13,1,4,4,1,1,1,1,1,0,1,1
BI016,0,20,0,14,0,0,1,12,1,15,0,5,5,0,1,1,1,1,0,1,1
BI017,1,53,2,8,0,1,1,14,1,10,0,5,5,1,1,1,1,1,1,1,1
BI018,0,51,2,8,0,0,1,20,2,16,1,5,3,0,1,0,0,1,1,1,0
BI019,1,65,5,8,0.25,1,1,12,1,12,1,3,3,1,1,0,1,1,1,1,1
BI020,0,27,2,14,0,0,2,16,1,18,0,5,10,1,1,1,1,1,1,1,1
BI021,1,28,0,13,0.5,1,1,13,1,19,1,5,5,0,1,0,1,0,1,1,1
BI022,0,54,3,14,0.75,1,1,14,1,10,1,5,4,1,1,1,1,1,1,1,1
BI023,1,53,2,16,0,1,1,17,1,17,0,5,7,0,0,0,0,0,0,0,0
BI024,1,38,2,10,1,1,1,14,1,14,0,2,4,0,0,0,1,1,0,1,1
BI025,0,47,3,11,0,0,1,19,1,16,1,5,5,1,1,1,1,0,0,1,1
BI026,1,40,4,14,1,0,1,13,1,24,1,5,10,0,0,0,1,0,0,0,1
BI027,1,40,4,13,0,0,1,13,1,12,1,5,5,1,0,0,1,1,1,1,1
BI028,1,66,3,15,0.25,0,1,15,1,16,0,5,5,1,0,0,0,0,0,0,0
BI029,0,35,2,14,0,0,1,13,1,14,1,5,0,1,0,0,0,0,1,1,0
BI030,0,33,1,16,0.75,0,1,16,1,15,0,10,10,0,0,0,0,1,1,1,1
BI031,1,72,5,15,0.75,0,1,20,1,14,1,5,7,1,1,1,1,1,1,1,1
BI032,0,55,2,10,0,1,2,13,1,17,0,5,5,1,1,1,1,1,1,1,1
BI033,1,53,2,11,0,0,4,17,1,15,1,10,5,0,0,0,0,1,1,1,1
BI035,1,53,1,8,0,0,1,19,2,10,0,5,10,1,1,1,1,1,1,1,1
BI036,1,51,0,10,0,1,1,27,1,25,1,5,2,0,0,0,0,0,0,0,0
BI037,1,30,0,14,0,1,1,10,1,12,0,5,5,0,1,1,1,0,1,1,1
BI038,0,24,0,17,0,1,1,11,1,6,1,5,5,0,1,1,1,1,0,0,1
BI039,0,22,0,16,0.25,1,1,12,1,14,0,5,3,0,0,0,0,1,0,0,0
BI040,1,58,3,12,0.75,1,2,20,2,19,1,4,5,1,1,1,1,1,1,1,1
BI041,1,35,14,4,0,0,1,13,2,17,1,5,1,0,0,1,1,1,1,1,0
BI042,1,61,3,10,1,0,2,16,1,13,1,5,5,0,0,0,1,1,0,1,0
BI043,0,20,0,14,0,0,1,9,1,14,0,5,5,1,0,0,1,1,1,1,1
BI044,0,31,1,14,0,1,1,17,1,19,1,5,5,1,1,1,1,1,1,1,1
BI045,1,48,1,16,0,0,1,17,1,19,0,5,5,1,0,0,1,0,1,0,0
BI046,0,54,1,16,0.25,0,1,12,1,14,0,4,5,1,1,0,1,0,0,1,0
BI047,0,35,3,14,0.25,0,1,14,1,13,1,0,5,1,1,0,0,1,1,0,1
BI048,0,27,2,16,0.25,1,1,15,1,10,0,5,4,0,0,0,0,1,0,0,0
BI049,1,27,0,18,0,1,3,13,2,15,1,5,8,0,1,0,1,0,1,0,1
BI050,1,46,1,17,0,0,1,17,1,11,0,5,5,0,0,0,0,0,0,0,0
BI051,0,19,0,12,0.5,0,1,16,2,16,1,5,4,1,1,0,1,1,0,0,1
BI052,0,78,5,11,0.25,1,1,15,1,16,1,5,5,1,1,1,1,1,1,1,1
BI053,1,69,5,7,0,0,1,17,2,14,1,5,2,0,0,0,0,0,0,0,0
BI054,0,34,4,10,1,1,1,17,1,12,1,5,5,1,0,1,1,1,1,1,1
BI055,0,46,2,8,0.5,1,1,13,1,14,1,5,5,0,1,1,1,1,1,1,1
BI056,0,25,2,15,1,0,1,13,1,12,1,5,4,1,0,1,0,1,0,1,0
BI057,0,55,3,15,0,1,1,10,1,13,0,3,5,1,1,1,1,0,1,1,1
BI058,0,52,3,8,1,0,1,14,1,12,0,5,5,1,1,1,1,1,1,1,1
BI059,0,29,0,12,0.25,1,1,16,1,18,0,5,4,1,1,1,0,1,1,1,1
BI060,1,50,1,10,0,0,1,14,1,14,0,4,5,1,0,1,1,1,1,1,1
BI061,0,26,1,16,0,1,1,16,1,12,1,5,9,1,1,1,0,1,1,1,1
BI062,0,64,4,15,0.25,0,1,16,2,10,1,2,5,1,1,1,NA,1,1,1,1
BI063,1,78,6,14,0.5,0,1,14,2,13,0,0,5,1,1,0,1,1,1,1,1
BI064,0,33,2,16,0.25,0,1,18,1,16,0,5,5,0,0,0,0,1,0,0,0
BI065,1,46,3,8,0.5,1,2,18,1,14,1,5,5,0,1,1,1,1,1,1,1
BI066,0,31,0,14,0,0,1,13,1,18,0,5,7,0,1,1,0,0,1,1,0
BI067,0,60,2,11,1,0,1,11,1,9,0,4,6,1,1,1,1,0,0,1,1
BI068,0,57,2,13,0,0,1,11,1,12,1,4,8,1,0,1,1,0,1,1,1
BI069,1,60,1,9,0,1,2,14,1,15,1,3,3,1,1,1,1,0,1,0,1
BI070,0,32,2,6,0,0,1,15,1,16,1,5,5,1,1,1,1,1,1,1,1
BI071,0,70,2,14,0,0,1,16,1,18,0,5,6,1,0,1,1,1,0,1,1
BI072,1,28,2,11,0,0,1,10,1,16,1,5,5,0,0,0,0,0,1,0,0
BI073,0,75,16,9,0,1,3,17,1,10,1,5,5,1,1,1,1,1,1,1,1
BI074,0,27,2,15,1,1,1,17,1,13,0,5,5,1,0,0,0,1,1,1,1
BI075,0,54,2,10,0.5,1,1,13,1,13,0,5,9,0,0,1,1,1,1,1,1
BI076,0,29,2,15,0,1,2,14,1,16,1,5,5,1,0,0,0,1,0,0,0
BI077,0,61,5,8,0,0,1,18,1,10,0,5,5,1,1,1,1,1,1,1,1
BI078,1,61,4,8,0,0,1,16,1,12,0,5,5,1,1,1,1,1,1,1,1
BI079,1,32,4,17,0,1,1,12,1,17,0,5,4,1,0,0,0,0,0,0,0
BI080,0,18,0,12,0,1,1,16,1,15,0,5,5,0,0,0,0,1,1,0,0
BI081,0,43,3,14,0.25,0,1,13,1,16,0,5,5,1,1,1,1,1,1,1,1
BI086,0,45,4,12,0,0,1,16,1,14,0,5,5,0,0,1,0,0,1,1,0
BI087,1,30,0,11,0,0,1,17,1,21,0,5,8,0,0,0,1,0,0,0,1
BI088,1,37,1,15,0,0,1,18,1,17,1,4,10,1,0,1,1,0,1,0,0
BI089,1,28,2,11,0,0,1,17,1,17,1,6,7,0,1,0,1,1,1,0,0
