CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,MARKET1,MARKET2,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,LGPERFHO,LGBLV,LGTHINK,BGPUNISH,BGDIE,BGFEEL,BGSEE,BGPERFHO,BGBLV,BGTHINK
A21,0,28,1,12,1,100,50,1,3,NA,1,NA,0,5,3,1,1,1,1,3,1,3,1,1,1,1,3,1,4
A25,1,27,1,12,1,80,80,0,1,11,6,7,0,5,0,0,1,1,1,0,1,1,1,1,1,1,3,1,4
A26,0,55,3,12,0.75,20,20,1,3,12,2,16,0,5,1,1,0,1,0,0,1,4,1,1,1,1,2,1,4
A28,1,25,0,16,1,50,70,0,1,17,1,17,0,6,6,1,1,1,1,1,1,4,1,1,1,1,3,1,4
A29,0,29,2,12,1,50,60,0,1,14,1,20,0,2,5,0,0,0,0,2,1,2,0,0,1,1,3,1,4
A31,1,47,3,16,1,70,50,1,2,16,1,17,1,3,5,1,1,1,1,0,1,4,1,1,1,1,2,1,3
A32,0,55,1,NA,0.75,100,100,1,2,NA,1,NA,1,5,5,NA,NA,NA,NA,0,0,0,1,1,1,0,3,1,4
A34,0,41,3,12,1,100,60,1,5,15,1,14,0,4,5,0,0,0,0,2,1,3,1,1,1,1,3,1,4
A35,1,71,6,12,1,100,50,1,5,9,2,15,0,4,NA,1,1,1,1,2,1,4,1,1,1,1,2,1,4
A36,1,62,3,12,0.75,20,20,0,3,15,4,15,1,0,3,1,1,0,0,1,1,4,0,1,1,1,3,1,4
A41,1,19,0,12,1,100,50,1,2,14,1,14,0,5,5,1,1,1,0,0,1,3,1,1,1,1,3,1,3
A42,0,24,2,12,0.75,80,50,1,1,10,1,13,1,4,3,1,1,1,0,4,1,3,1,1,1,1,2,1,4
A43,0,52,5,NA,1,30,30,0,1,20,5,9,0,4,4,0,0,1,1,3,1,4,1,0,1,1,2,1,2
A44,0,45,3,15,1,70,70,0,1,11,1,14,0,0,10,1,1,1,1,4,1,4,0,1,1,1,3,1,4
A45,0,37,4,12,1,25,40,1,3,17,1,16,0,5,5,1,0,0,0,3,1,1,1,1,1,1,2,1,4
A46,0,42,8,6,1,60,60,0,2,15,6,14,0,2,0,0,0,1,0,0,1,2,1,NA,1,1,3,1,3
