SITE	RESEARCHER	Assistant	ID	GODSPIRIT	GODSPIRIT.C	ORDERG
Ambohimahavelona	Anders Norge	Fara	13	Andriamandazoala	Andriamandazoala	3
Anororo	Anders Norge	Fara	3	 Andriamanitra (God)	Andriamanitra	3
North Anororo	Anders Norge	Fara	17	Andriamanitra mpivavaka (bible's God)	Andriamanitra	3
Tsaraseranana Anororo	Anders Norge	Fara	20	Andriamanitra mpivavaka (God of the believers)	Andriamanitra	1
Tanambao II Anororo	Anders Norge	Fara	21	Jesosy sy Andriamanitra	Andriamanitra	4
Anororo	Anders Norge	Fara	26	Andriamanitra	Andriamanitra	3
North Anororo	Anders Norge	Fara	28	Andriamanitra(God)	Andriamanitra	1
Tanambao I Anororo	Anders Norge	Fara	39	Andriamanitra	Andriamanitra	3
TanambaoI Anororo	Anders Norge	Fara	40	Andriamanitra	Andriamanitra	5
Anororo	Anders Norge	Fara	2	Andriatsimitoviaminandriana	Andriat.	1
Anororo	Anders Norge	Fara	5	Andriatsimitoviaminandriana	Andriat.	2
Anororo	Anders Norge	Fara	9	Andriatsimitovy	Andriat.	4
Anororo	Anders Norge	Fara	10	Andriatsimitoviaminandriana	Andriat.	2
Anororo	Anders Norge	Fara	11	Andriatsimitoviaminandriana	Andriat.	2
Ambohimahavelona	Anders Norge	Fara	13	Andriatsimitoviaminandriana	Andriat.	5
Ambohimahavelona	Anders Norge	Fara	14	Andriatsimitoviaminandriana	Andriat.	5
Tsaraseranana Anororo	Anders Norge	Fara	16	Andriatsimitoviaminandriana	Andriat.	2
North Anororo	Anders Norge	Fara	17	Andriatsimitoviaminandriana	Andriat.	2
Tanambao II Anororo	Anders Norge	Fara	21	Andriatsimitoviaminandriana	Andriat.	1
Tsaraseranana Anororo	Anders Norge	Fara	22	Andriatsimitoviaminandriana	Andriat.	1
Anororo	Anders Norge	Fara	26	Andriatsimitoviaminandriana	Andriat.	1
Anororo	Anders Norge	Fara	27	Andriatsimitoviaminandriana	Andriat.	3
North Anororo	Anders Norge	Fara	28	Andriatsimitoviaminandriana	Andriat.	2
Tanambao II Anororo	Anders Norge	Fara	29	Andriatsimitoviaminandriana	Andriat.	5
Anororo	Anders Norge	Fara	34	Andriatsimitoviaminandriana	Andriat.	1
TanambaoII Anororo	Anders Norge	Fara	35	Andriatsimitoviaminandriana	Andriat.	3
TanambaoII Anororo	Anders Norge	Fara	37	Andriatsimitoviaminandriana	Andriat.	3
TanambaoII Anororo	Anders Norge	Fara	38	Andriatsimitoviaminandriana	Andriat.	2
TanambaoI Anororo	Anders Norge	Fara	40	Andriatsimitoviaminandriana	Andriat.	1
Tsaraseranana Anororo	Anders Norge	Fara	23	Bemahasoa	Bemahasoa	1
Tanambao II Anororo	Anders Norge	Fara	29	dadilahy Ndrenandro	dadilahy Ndrenandro	2
Anororo	Anders Norge	Fara	4	debadeba	debadeba	5
TanambaoII Anororo	Anders Norge	Fara	37	Elohim	Elohim	1
Anororo	Anders Norge	Fara	3	fanahy ratsy sy tsara (bad and good spirit)	fanahy ratsy sy tsara (bad and good spirit)	1
Ambohimahavelona	Anders Norge	Fara	12	Georges	Georges	4
Ambohimahavelona	Anders Norge	Fara	12	Ivonne	Ivonne	3
Tsaraseranana Anororo	Anders Norge	Fara	31	Jalousie	Jalousie	3
