CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,FISHER,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,BGPUNISH,BGDIE,BGFEEL,BGSEE,LGPERFHO,LGBLV,LGTHINK,BGPERFHO,BGBLV,BGTHINK
EX070,0,17,0,11,0.25,0,1,2,13,2,14,1,4,3,1,NA,1,1,1,1,1,1,0,1,0,0,1,4
EX028,1,63,4,18,0.5,0,0,2,19,2,11,1,3,4,NA,0,1,1,0,1,1,1,0,1,1,1,1,1
EX042,1,54,4,6,1,0,0,2,15,2,13,1,4,4,1,1,1,1,1,1,1,1,3,1,3,1,1,2
EX011,0,36,4,7,0.75,0,1,2,13,2,19,0,5,7,1,0,1,1,1,0,1,1,0,1,1,1,1,1
EX087,0,59,5,3,0.25,0,0,2,24,2,9,1,0,0,1,0,1,1,1,0,1,1,0,1,1,2,1,2
EX097,1,17,0,11,0.75,0,0,2,17,2,15,1,5,7,1,0,1,1,0,0,NA,0,0,1,1,0,1,1
EX088,0,62,4,12,0,0,1,2,11,2,15,1,2,4,1,1,1,1,1,1,1,1,4,1,4,2,1,4
EX090,0,30,2,8,0.5,0,1,2,16,2,13,1,4,4,1,NA,1,1,1,NA,1,1,NA,1,0,2,1,2
EX023,0,38,5,7,0.75,0,0,2,15,2,10,0,5,4,1,0,1,1,0,0,1,1,0,1,0,0,1,0
EX099,1,18,0,NA,1,NA,0,2,16,2,14,0,4,5,1,NA,1,0,1,NA,1,1,0,1,0,4,1,4
EX085,0,63,5,NA,0.5,0,0,2,16,2,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EX095,0,52,2,9,1,0,1,2,13,2,17,1,4,4,NA,NA,NA,NA,1,1,0,0,0,1,0,1,1,1
EX049,1,58,2,12,0.25,0,0,2,14,2,15,0,0,2,NA,0,1,1,1,0,1,1,0,0,0,1,1,1
EX034,0,33,0,13,1,0,1,2,19,2,16,1,4,4,1,0,1,1,1,NA,1,1,0,1,0,2,1,2
EX015,0,18,0,10,0.75,0,1,2,15,2,13,0,5,4,1,NA,1,1,1,NA,1,1,2,1,0,2,1,2
EX077,1,76,7,2,0.5,1,1,2,21,2,14,0,3,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1
EX032,0,63,8,5,0.5,0,1,2,14,2,14,0,2,2,1,0,1,1,1,0,1,1,0,1,0,1,1,2
EX089,0,43,5,8,0.25,1,1,2,10,2,15,0,4,4,1,0,1,1,1,0,1,1,0,1,0,1,1,1
EX056,0,NA,5,4,0.5,0,0,2,17,2,16,0,5,5,1,0,1,1,1,0,1,1,0,1,0,0,1,0
EX054,1,22,1,8,0.5,1,0,2,13,2,21,0,5,6,0,0,0,0,1,0,NA,0,0,1,0,3,1,0
EX026,1,21,1,2,0.5,1,0,2,17,2,16,0,4,5,1,0,1,1,1,0,1,1,0,1,0,4,0,0
EX082,1,65,4,8,0.5,0,1,2,15,2,14,1,4,3,NA,NA,NA,NA,1,NA,1,1,0,0,0,1,1,4
EX021,1,32,1,21,0.25,0,1,2,13,2,10,1,3,2,0,0,0,0,0,NA,0,1,0,0,0,0,1,0
EX038,0,28,1,15,1,0,0,2,13,2,14,0,5,5,0,NA,0,0,1,NA,1,1,0,0,0,1,1,1
